;rev_id;prediction
30455;792428154;Stub
30456;792438683;Stub
30457;792439958;Stub
30458;792440851;-1
30459;792441839;Start
30460;792445124;Stub
30461;792451225;Start
30462;792454267;Start
30463;792457458;Stub
30464;792458459;C
30465;792459664;Stub
30466;792460384;Stub
30467;792461862;C
30468;792463390;Start
30469;792467670;C
30470;792474759;Start
30471;792476721;Start
30472;792484949;Start
30473;792489768;Stub
30474;792490146;Stub
30475;792495719;Start
30476;792496144;Start
30477;792499011;C
30478;792504448;C
30479;792505335;C
30480;792507219;Start
30481;792517818;C
30482;792517956;Stub
30483;792520944;Start
30484;792524002;C
30485;792528318;Stub
30486;792530940;FA
30487;792531046;C
30488;792532517;Start
30489;792533603;Start
30490;792536622;Stub
30491;792536899;Stub
30492;792537716;Stub
30493;792540501;Start
30494;792541575;C
30495;792541992;Stub
30496;792543483;C
30497;792543486;Start
30498;792544308;Start
30499;792545317;GA
30500;792552245;Stub
30501;792552943;Stub
30502;792553915;Stub
30503;792555075;Stub
30504;792556486;Start
30505;792558269;Start
30506;792558522;Stub
30507;792559089;Stub
30508;792559628;Stub
30509;792563081;C
30510;792563282;Stub
30511;792563890;Stub
30512;792564566;Stub
30513;792565580;Start
30514;792566165;Start
30515;792567273;Start
30516;792569471;Start
30517;792571494;Stub
30518;792571925;Start
30519;792576231;Start
30520;792579079;Stub
30521;792579476;Stub
30522;792580420;Stub
30523;792581000;Stub
30524;792582530;C
30525;792583917;Stub
30526;792584290;Stub
30527;792585742;Stub
30528;792587379;Stub
30529;792590145;Start
30530;792592971;Stub
30531;792595685;Start
30532;792598129;Start
30533;792599532;Stub
30534;792601479;C
30535;792602791;Stub
30536;792606272;Start
30537;792606929;C
30538;792610997;Start
30539;792611747;Start
30540;792612815;Start
30541;792612856;C
30542;792615206;C
30543;792617589;Stub
30544;792617606;Stub
30545;792618133;C
30546;792620625;Stub
30547;792620673;Stub
30548;792621033;Stub
30549;792622152;C
30550;792626648;Stub
30551;792627329;B
30552;792630654;Stub
30553;792633224;Stub
30554;792633464;Start
30555;792633940;Stub
30556;792634691;Start
30557;792635544;Stub
30558;792636079;Stub
30559;792636657;Start
30560;792637326;Stub
30561;792641952;Stub
30562;792642887;Stub
30563;792642892;Start
30564;792644443;Start
30565;792645778;Stub
30566;792657220;Start
30567;792658527;Stub
30568;792667220;Stub
30569;792668351;Start
30570;792668464;Start
30571;792673202;Start
30572;792675555;Start
30573;792677652;Stub
30574;792678221;C
30575;792684433;Stub
30576;792684695;Start
30577;792684982;Start
30578;792686563;Start
30579;792687864;Start
30580;792688043;Start
30581;792689243;Stub
30582;792692158;Start
30583;792693775;C
30584;792699334;Stub
30585;792700892;C
30586;792703852;Stub
30587;792703859;Start
30588;792707361;Start
30589;792709704;C
30590;792712917;Stub
30591;792713116;Start
30592;792713624;Start
30593;792716537;Stub
30594;792717199;Start
30595;792717587;Stub
30596;792717790;Stub
30597;792718721;Stub
30598;792718795;Stub
30599;792722298;Stub
30600;792725024;Start
30601;792725143;Start
30602;792726212;Start
30603;792727497;Stub
30604;792729943;Stub
30605;792730125;Stub
30606;792730955;Stub
30607;792731102;C
30608;792731504;Start
30609;792731529;Stub
30610;792731547;Start
30611;792731737;Start
30612;792732560;Stub
30613;792732887;Stub
30614;792734868;Start
30615;792741871;Start
30616;792744098;Start
30617;792750561;Start
30618;792750814;Stub
30619;792755597;Stub
30620;792761820;C
30621;792763353;Stub
30622;792767951;Start
30623;792768563;Stub
30624;792768881;C
30625;792771500;Stub
30626;792775189;Start
30627;792777108;Stub
30628;792780958;Stub
30629;792790500;Start
30630;792790722;Start
30631;792793205;Start
30632;792796516;Stub
30633;792796764;Stub
30634;792801328;Start
30635;792802351;C
30636;792802653;Stub
30637;792803222;C
30638;792803263;C
30639;792812707;Stub
30640;792813226;B
30641;792817758;Stub
30642;792820066;C
30643;792820240;Start
30644;792822865;Stub
30645;792833837;C
30646;792838312;Start
30647;792838546;Start
30648;792839541;Start
30649;792842249;Start
30650;792844397;C
30651;792847324;Start
30652;792847392;Start
30653;792847754;Start
30654;792847876;Stub
30655;792850036;C
30656;792850762;Start
30657;792851404;Stub
30658;792852974;Start
30659;792853350;Start
30660;792857662;-1
30661;792859304;Stub
30662;792860528;Stub
30663;792860597;C
30664;792860712;Start
30665;792860842;Start
30666;792860914;Start
30667;792861234;Stub
30668;792864113;Start
30669;792865527;Start
30670;792866617;Stub
30671;792869330;Stub
30672;792871675;Stub
30673;792871680;Stub
30674;792872084;Stub
30675;792873948;Stub
30676;792874629;Stub
30677;792887839;C
30678;792889810;C
30679;792895153;Stub
30680;792896300;Stub
30681;792898044;Stub
30682;792898077;Stub
30683;792898118;Stub
30684;792898196;Stub
30685;792898209;Stub
30686;792898327;Stub
30687;792899305;Stub
30688;792904848;Start
30689;792905760;Stub
30690;792908354;Start
30691;792909961;Stub
30692;792920201;Stub
30693;792921333;Start
30694;792923360;GA
30695;792927211;Start
30696;792927729;Stub
30697;792928952;Stub
30698;792929200;Stub
30699;792929972;Start
30700;792930581;Stub
30701;792930794;GA
30702;792931166;Stub
30703;792931308;Stub
30704;792931448;Stub
30705;792931453;Stub
30706;792933603;-1
30707;792935269;Stub
30708;792935818;Start
30709;792936867;C
30710;792937686;Start
30711;792938456;Start
30712;792939120;Start
30713;792942957;Start
30714;792946858;C
30715;792947364;Stub
30716;792949749;Start
30717;792951097;C
30718;792951884;Stub
30719;792952085;Stub
30720;792952577;Start
30721;792952712;Stub
30722;792952868;Start
30723;792953005;Stub
30724;792953122;Start
30725;792953380;C
30726;792953388;Start
30727;792954115;B
30728;792956050;Start
30729;792956376;Stub
30730;792958517;Start
30731;792959316;C
30732;792961829;Stub
30733;792962584;Start
30734;792964590;Start
30735;792965570;Stub
30736;792967101;C
30737;792968636;Stub
30738;792975080;C
30739;792979318;B
30740;792987139;Stub
30741;792989311;Start
30742;792997376;FA
30743;793000267;B
30744;793001202;Start
30745;793002652;Stub
30746;793003624;Start
30747;793006386;Stub
30748;793006457;Stub
30749;793007038;Stub
30750;793010122;Start
30751;793010736;C
30752;793012141;Stub
30753;793012659;Start
30754;793014986;Start
30755;793017881;Start
30756;793020298;C
30757;793024534;C
30758;793026670;Stub
30759;793028762;Start
30760;793030291;Start
30761;793030550;Start
30762;793042940;GA
30763;793047851;Start
30764;793048396;Stub
30765;793050599;Start
30766;793051551;Start
30767;793052019;C
30768;793052312;Start
30769;793052778;C
30770;793053467;Start
30771;793070297;Stub
30772;793071652;Stub
30773;793071897;Stub
30774;793072072;Stub
30775;793073762;Stub
30776;793073818;Start
30777;793077256;Stub
30778;793078045;Stub
30779;793081195;C
30780;793082601;Start
30781;793083145;C
30782;793083538;Stub
30783;793083866;Start
30784;793087579;Stub
30785;793087836;Start
30786;793092275;Stub
30787;793096074;Stub
30788;793096179;Start
30789;793099357;Start
30790;793100368;Start
30791;793101119;Stub
30792;793102072;Start
30793;793102410;Stub
30794;793107823;Stub
30795;793108551;Start
30796;793110506;Start
30797;793114229;Stub
30798;793116399;Stub
30799;793119264;Stub
30800;793120607;Start
30801;793120698;Start
30802;793123637;Stub
30803;793126462;Start
30804;793129536;Start
