;rev_id;prediction
40484;802855951;Stub
40485;802856852;GA
40486;802856885;C
40487;802858382;Stub
40488;802859459;Start
40489;802859486;Start
40490;802859738;C
40491;802860340;Stub
40492;802860970;Start
40493;802861534;Stub
40494;802862968;Start
40495;802863065;Start
40496;802864450;Start
40497;802865523;Start
40498;802868192;Start
40499;802868309;C
40500;802868421;Stub
40501;802868711;Stub
40502;802870152;B
40503;802870791;Start
40504;802871609;Start
40505;802873067;Start
40506;802873544;Stub
40507;802874918;Stub
40508;802875692;Start
40509;802875800;Stub
40510;802876751;C
40511;802876753;FA
40512;802877579;Stub
40513;802882186;GA
40514;802882354;C
40515;802882901;Stub
40516;802890032;FA
40517;802890456;Start
40518;802892092;GA
40519;802892509;C
40520;802892575;Stub
40521;802893546;Stub
40522;802893568;Stub
40523;802894111;Start
40524;802896342;Start
40525;802902760;Stub
40526;802904214;-1
40527;802907676;FA
40528;802909340;Stub
40529;802909384;Start
40530;802912550;C
40531;802913305;Start
40532;802913991;Start
40533;802914163;C
40534;802914262;Stub
40535;802914819;Start
40536;802915372;Stub
40537;802916024;Stub
40538;802916159;C
40539;802916247;Stub
40540;802916731;Stub
40541;802916905;C
40542;802917079;Stub
40543;802917093;Stub
40544;802917705;C
40545;802918594;Start
40546;802918866;Stub
40547;802918903;Stub
40548;802919376;Stub
40549;802919420;C
40550;802919725;Stub
40551;802921178;Stub
40552;802921593;Start
40553;802921770;Stub
40554;802922988;Stub
40555;802925425;Stub
40556;802927247;Start
40557;802927798;Stub
40558;802928025;Start
40559;802930043;Start
40560;802930161;B
40561;802930551;Stub
40562;802930966;C
40563;802931045;Start
40564;802931199;Stub
40565;802931323;Stub
40566;802931391;Stub
40567;802931614;Stub
40568;802931825;Start
40569;802932829;Start
40570;802933329;Start
40571;802933573;Stub
40572;802933805;Start
40573;802933833;Start
40574;802934281;Stub
40575;802935864;Start
40576;802937732;-1
40577;802938115;Stub
40578;802939040;GA
40579;802940377;Stub
40580;802941417;C
40581;802941674;C
40582;802941895;Stub
40583;802942950;Start
40584;802943877;Start
40585;802944082;Start
40586;802944161;Stub
40587;802947213;Stub
40588;802947460;Start
40589;802948614;C
40590;802950350;C
40591;802952160;Start
40592;802955117;Start
40593;802955123;C
40594;802955735;Stub
40595;802955875;Stub
40596;802955917;Stub
40597;802956115;Start
40598;802956537;C
40599;802957262;C
40600;802958032;C
40601;802961482;C
40602;802962046;Start
40603;802962961;Start
40604;802964371;Start
40605;802965442;FA
40606;802968215;C
40607;802968896;Start
40608;802969348;Start
40609;802969417;C
40610;802972400;Start
40611;802972603;Start
40612;802973373;Stub
40613;802974549;Stub
40614;802974599;C
40615;802979363;Start
40616;802980868;Stub
40617;802981706;Start
40618;802985500;Stub
40619;802985537;Start
40620;802989420;Stub
40621;802990490;C
40622;802991187;Start
