;article_name;country;region;revision_id;article_quality;population
0;Bir I of Kanem;Chad;AFRICA;355319463.0;Stub;16.877
1;Abdullah II of Kanem;Chad;AFRICA;498683267.0;Stub;16.877
2;Salmama II of Kanem;Chad;AFRICA;565745353.0;Stub;16.877
3;Kuri I of Kanem;Chad;AFRICA;565745365.0;Stub;16.877
4;Mohammed I of Kanem;Chad;AFRICA;565745375.0;Stub;16.877
5;Kuri II of Kanem;Chad;AFRICA;669719757.0;Stub;16.877
6;Bir II of Kanem;Chad;AFRICA;670893206.0;Stub;16.877
7;Mahamat Hissene;Chad;AFRICA;693055898.0;Stub;16.877
8;Othman I;Chad;AFRICA;705432607.0;Stub;16.877
9;Alphonse Kotiga;Chad;AFRICA;707593108.0;Stub;16.877
10;Oueddei Kichidemi;Chad;AFRICA;708346649.0;Start;16.877
11;Dunama I;Chad;AFRICA;710675092.0;Stub;16.877
12;Ahmad (Kanem-Bornu king);Chad;AFRICA;711388267.0;Stub;16.877
13;Djibrine Kerallah;Chad;AFRICA;712971263.0;Stub;16.877
14;Maurice Ngangtar;Chad;AFRICA;712971315.0;Stub;16.877
15;Idriss Miskine;Chad;AFRICA;712971738.0;Stub;16.877
16;Laoukein Kourayo Médard;Chad;AFRICA;716886170.0;Stub;16.877
17;Nadji Madou;Chad;AFRICA;716886788.0;Stub;16.877
18;Noël Milarew Odingar;Chad;AFRICA;716891799.0;Start;16.877
19;Yaya Dillo Djérou;Chad;AFRICA;717733209.0;Stub;16.877
20;Acheikh Ibn-Oumar;Chad;AFRICA;719821590.0;Start;16.877
21;Quatre Sou Quatre;Chad;AFRICA;720066754.0;Stub;16.877
22;Ali Gazi;Chad;AFRICA;722563340.0;Stub;16.877
23;Mahamat Djarma Khatir;Chad;AFRICA;725132042.0;Stub;16.877
24;Dunama IX Lefiami;Chad;AFRICA;731749611.0;Stub;16.877
25;Dawud of Kanem;Chad;AFRICA;736550266.0;Stub;16.877
26;Ahmed Koulamallah;Chad;AFRICA;738855197.0;Start;16.877
27;Abbo Nassour;Chad;AFRICA;741369486.0;C;16.877
28;Abdel Kader Baba-Laddé;Chad;AFRICA;742213176.0;Stub;16.877
